"type"	"siap_mean"	"siap_q"	"gp_mean"	"gp_q"	"marss_mean"	"marss_q"	"si_mean"	"si_q"
"1"	"o"	0.00242428654238801	8.38945596862428e-06	-0.00654481317812345	2.15130101938343e-05	-0.00429771465973053	1.90980020562866e-05	0.00240866060542675	8.38619643539151e-06
"2"	"w"	0.00206979424853854	6.27727676812896e-06	-0.00657611818742993	1.81595411477349e-05	-0.00428030330547164	1.57573241123563e-05	1.60091982406016e-06	2.2220803499069e-07
