"siap"	"gp"	"marss"
"overall"	0.952919453513805	0.930682790756649	0.075715598947602
"downtime"	0.957940403909917	0.929916065577583	0.0753665407795697
"scattered"	0.945726601175146	0.931601743669441	0.0761339600879501
