"","i","n_chunks","prop_pos_pos","prop_neg_neg","prop_neg_pos","wprop_pos_pos","wprop_neg_neg","wprop_neg_pos"
"1",1,25,0.2,0.32,0.48,0.188235294117647,0.235294117647059,0.576470588235294
"2",2,25,0.36,0.16,0.48,0.364705882352941,0.129411764705882,0.505882352941176
"3",3,25,0.24,0.24,0.52,0.223529411764706,0.247058823529412,0.529411764705882
"4",4,25,0.2,0.12,0.68,0.176470588235294,0.0705882352941176,0.752941176470588
"5",5,25,0.12,0.24,0.64,0.117647058823529,0.152941176470588,0.729411764705882
