method,pdt,repl,type,mrae
latc,0.2,12,overall,0.004254843787682532
latc,0.2,12,w,0.004189931899488586
latc,0.2,12,o,0.004335975280492396
latc,0.2,13,overall,0.004375906157628973
latc,0.2,13,w,0.004476663150121473
latc,0.2,13,o,0.004250430394169858
latc,0.2,14,overall,0.004293253875392626
latc,0.2,14,w,0.004270915635522312
latc,0.2,14,o,0.0043211619205819375
latc,0.2,15,overall,0.0043077711478163765
latc,0.2,15,w,0.004290417142736325
latc,0.2,15,o,0.0043294205229982615
latc,0.2,16,overall,0.0043461607790570445
latc,0.2,16,w,0.004419517582098574
latc,0.2,16,o,0.0042547325208605585
latc,0.2,17,overall,0.004275918290495204
latc,0.2,17,w,0.004238994201114055
latc,0.2,17,o,0.0043219596241469834
latc,0.2,18,overall,0.004268389564266184
latc,0.2,18,w,0.0042256095820599185
latc,0.2,18,o,0.004321789791231021
latc,0.2,19,overall,0.004326851716577995
latc,0.2,19,w,0.004335091623058308
latc,0.2,19,o,0.004316578284317784
latc,0.2,2,overall,0.004364694903041718
latc,0.2,2,w,0.004432497663116806
latc,0.2,2,o,0.004280163889915005
latc,0.2,20,overall,0.004342080317940612
latc,0.2,20,w,0.004395302096153182
latc,0.2,20,o,0.004275648194723273
latc,0.2,21,overall,0.004344065503907825
latc,0.2,21,w,0.00439601446156577
latc,0.2,21,o,0.004279263276173684
latc,0.2,22,overall,0.004277208984825062
latc,0.2,22,w,0.004209269458177575
latc,0.2,22,o,0.0043619550812939
latc,0.2,23,overall,0.004247202670451554
latc,0.2,23,w,0.004135581049094804
latc,0.2,23,o,0.004386438361840047
latc,0.2,24,overall,0.004286700676851328
latc,0.2,24,w,0.004250691481824288
latc,0.2,24,o,0.004331631205297883
latc,0.2,25,overall,0.004401609231910689
latc,0.2,25,w,0.004540930421558322
latc,0.2,25,o,0.004228113775241567
latc,0.2,26,overall,0.004285089550257855
latc,0.2,26,w,0.004215050935294723
latc,0.2,26,o,0.004372559023053005
latc,0.2,27,overall,0.004346088502591834
latc,0.2,27,w,0.004375104273316725
latc,0.2,27,o,0.004309847807424014
latc,0.2,28,overall,0.004331884404000224
latc,0.2,28,w,0.0043679321314197515
latc,0.2,28,o,0.004286892605681085
latc,0.2,29,overall,0.0043160409696698905
latc,0.2,29,w,0.004342048739604372
latc,0.2,29,o,0.004283636266325185
latc,0.2,3,overall,0.004358863531047334
latc,0.2,3,w,0.004431749173278035
latc,0.2,3,o,0.00426824581638613
latc,0.2,30,overall,0.004288172990408433
latc,0.2,30,w,0.004266217102846524
latc,0.2,30,o,0.004315541993745499
latc,0.2,31,overall,0.004314698308279611
latc,0.2,31,w,0.004326373711600763
latc,0.2,31,o,0.004300093690836506
latc,0.2,32,overall,0.004247495109877638
latc,0.2,32,w,0.004160951880031571
latc,0.2,32,o,0.00435555300071484
latc,0.2,33,overall,0.0042607769914450155
latc,0.2,33,w,0.0041698315441316535
latc,0.2,33,o,0.004374312944151565
latc,0.2,34,overall,0.004305491541329999
latc,0.2,34,w,0.0043032792670115024
latc,0.2,34,o,0.004308254390734992
latc,0.2,35,overall,0.004283991499138043
latc,0.2,35,w,0.004261161486966342
latc,0.2,35,o,0.004312468810910331
latc,0.2,36,overall,0.004346500605939102
latc,0.2,36,w,0.004415195115518716
latc,0.2,36,o,0.004260864245665155
latc,0.2,37,overall,0.004228130744539805
latc,0.2,37,w,0.00412988018321123
latc,0.2,37,o,0.00435062488290755
latc,0.2,38,overall,0.004259437545344525
